,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,5,6,5,5,6,6,6,5,6,5,7,12,13,12,11
1,7,5,5,6,5,5,7,8,4,4,4,5,6,7,7,6
2,6,7,6,6,5,6,5,6,5,6,7,6,5,9,7,5
3,4,6,5,3,6,5,8,6,6,5,7,6,6,7,7,5
4,5,6,4,4,7,6,10,7,5,7,4,8,8,9,9,9
5,8,8,11,10,9,11,8,11,11,10,9,10,10,10,9,10
6,6,5,4,10,6,4,4,6,5,4,4,9,11,12,9,10
7,6,4,4,6,11,10,11,12,5,6,3,6,11,12,10,11
8,5,4,3,4,4,6,8,4,5,8,8,8,11,12,11,12
9,3,6,7,9,8,11,6,11,6,5,9,9,9,10,9,6
10,5,5,4,5,12,11,11,13,4,7,3,5,9,11,10,8
11,4,3,5,3,6,8,13,9,3,5,4,5,3,10,6,6
12,9,9,4,9,11,11,11,12,8,8,6,8,7,8,8,7
13,8,12,4,10,8,9,12,7,7,9,9,5,11,12,12,10
14,6,10,6,7,7,7,9,8,8,8,10,7,10,8,11,8
15,5,7,6,4,4,6,4,3,8,10,7,4,8,5,6,7
16,3,6,6,4,4,4,6,4,3,3,6,4,5,9,7,11
17,4,4,4,3,7,6,10,8,5,2,6,5,3,12,5,5
18,3,3,3,1,9,8,11,8,6,2,4,8,5,8,5,4
19,5,4,4,4,3,4,4,4,4,3,4,8,4,5,4,9
20,12,11,11,11,10,12,11,11,11,11,11,8,10,11,11,11
21,3,2,3,3,12,3,5,4,4,5,7,3,6,11,7,4
22,5,2,6,5,10,3,3,2,9,5,8,4,7,9,6,9
23,3,3,7,6,4,5,3,6,6,3,5,5,8,11,4,6
24,6,3,5,7,4,1,5,4,7,5,5,9,7,8,3,10
25,7,6,7,7,12,12,10,11,7,9,6,9,11,10,10,10
26,12,10,7,8,9,8,8,10,9,9,12,11,9,10,9,8
27,4,3,5,3,4,3,3,3,5,4,5,2,7,9,7,7
28,3,4,4,3,4,5,6,2,7,8,6,8,5,11,9,9
29,9,4,9,11,10,3,9,9,10,9,9,7,10,12,12,11
30,10,8,8,7,10,8,6,8,6,8,7,8,8,8,6,8
31,6,8,12,10,10,9,6,7,8,9,8,7,11,11,11,10
32,6,4,5,6,4,3,5,2,1,2,4,3,6,8,9,9
33,13,13,13,12,12,12,13,12,13,12,12,12,12,13,13,12
34,8,7,11,13,11,11,7,5,7,11,12,5,10,10,9,9
35,3,5,4,4,8,9,11,9,5,6,5,7,11,12,11,10
36,3,4,4,2,12,9,10,10,3,5,5,4,9,11,9,9
37,4,6,7,5,11,10,11,11,6,8,6,10,12,12,11,10
38,5,4,6,4,8,9,9,9,5,7,5,4,6,8,6,8
39,4,4,2,5,12,10,12,12,4,10,8,10,7,9,7,9
40,5,6,4,5,10,10,10,10,4,7,5,7,12,13,11,12
41,8,3,8,7,6,7,5,8,8,10,10,8,11,12,9,10
42,7,4,4,6,11,10,11,12,3,4,6,5,12,11,11,10
43,5,7,5,5,10,10,9,11,5,6,5,7,9,10,9,9
44,5,4,4,4,10,9,11,4,3,4,3,7,5,5,6,4
45,10,8,8,10,11,11,9,10,8,9,9,9,11,11,11,10
46,7,7,5,3,8,8,8,6,5,8,9,10,13,12,11,12
47,5,4,3,4,8,8,7,8,5,4,5,6,7,8,6,6
48,5,4,6,6,8,8,9,9,7,6,6,7,10,13,10,8
49,7,7,7,5,6,6,7,7,4,9,8,9,6,8,9,10
50,7,9,6,5,5,6,8,8,8,11,9,8,10,11,10,11
51,7,6,6,5,11,10,11,11,6,5,6,7,10,13,11,11
52,5,7,8,9,5,4,7,5,6,11,8,9,6,3,7,7
53,7,9,4,7,7,6,8,5,7,9,7,8,13,13,13,12
54,6,8,5,10,10,10,9,8,9,7,8,7,9,11,9,6
55,5,5,6,5,5,5,8,5,5,7,5,11,12,13,11,11
56,7,7,8,6,7,7,7,7,7,8,9,7,7,8,9,7
57,8,8,8,8,9,8,10,9,9,9,8,9,11,11,10,9
58,4,4,5,5,13,12,12,12,6,3,6,8,8,11,10,10
59,4,6,5,4,7,5,6,5,4,6,5,6,11,11,7,8
60,5,6,7,5,11,10,11,11,6,6,8,6,7,11,8,8
61,6,3,6,5,3,8,7,6,7,8,4,9,8,9,10,7
62,4,4,5,4,8,8,11,7,4,5,4,6,8,12,8,9
63,6,5,3,5,6,3,7,6,2,5,5,5,11,11,10,11
64,5,6,4,3,6,3,7,5,3,4,3,6,12,12,11,13
65,8,7,8,7,9,9,10,8,8,7,7,8,6,7,8,7
66,6,4,4,5,10,8,9,9,3,6,3,6,9,12,11,9
67,4,5,5,5,4,5,4,4,6,7,7,8,4,7,4,5
68,5,4,5,5,10,12,11,10,4,6,4,6,10,12,11,9
69,11,9,10,10,7,8,8,7,7,11,9,11,11,12,11,11
70,8,4,6,4,8,7,8,8,5,6,7,6,11,13,12,11
71,6,5,6,5,5,6,5,5,6,6,6,6,10,9,12,9
72,8,7,6,6,11,10,10,9,7,9,8,8,11,12,9,10
73,7,5,6,5,9,11,10,11,7,8,6,9,10,9,8,10
74,6,7,9,6,11,9,9,10,8,9,10,11,11,11,11,12
75,7,4,3,8,12,12,10,11,7,8,4,6,7,12,6,8
76,6,6,6,5,9,10,11,9,6,11,7,7,11,9,10,7
77,9,9,8,8,9,7,9,6,7,7,8,9,7,9,10,8
78,6,6,4,6,12,9,9,8,6,10,5,5,9,12,9,11
79,4,4,4,4,8,7,12,9,5,6,3,3,7,11,10,10
80,8,7,7,12,4,3,6,5,4,11,9,12,7,10,4,8
81,7,6,7,6,10,10,10,10,5,7,7,7,7,10,8,10
82,8,6,6,6,8,9,8,9,5,4,5,8,7,10,8,9
83,4,4,4,3,5,7,7,6,6,4,6,5,8,9,8,8
84,7,10,9,9,6,6,6,6,7,10,9,8,8,13,7,9
85,9,5,7,9,8,8,8,6,7,9,8,7,10,12,10,11
86,6,10,6,4,11,7,10,11,5,8,7,9,9,10,11,11
87,4,4,4,2,12,11,10,12,5,5,5,7,11,12,10,10
88,9,7,6,7,12,12,10,12,7,7,8,8,8,11,11,10
